station,valid,metar
LAF,2021-10-07 00:00,KLAF 070000Z AUTO 07005KT 10SM BKN046 21/19 A3013 RMK T02100190 MADISHF
LAF,2021-10-07 00:05,KLAF 070005Z AUTO 07005KT 10SM BKN046 OVC055 21/19 A3013 RMK T02100190 MADISHF
LAF,2021-10-07 00:10,KLAF 070010Z AUTO 08007KT 10SM BKN048 OVC055 21/19 A3014 RMK T02100190 MADISHF
LAF,2021-10-07 00:15,KLAF 070015Z AUTO 08008KT 9SM BKN045 OVC050 21/19 A3014 RMK T02100190 MADISHF
LAF,2021-10-07 00:20,KLAF 070020Z AUTO 08007KT 9SM BKN045 OVC055 21/19 A3014 RMK T02100190 MADISHF
LAF,2021-10-07 00:25,KLAF 070025Z AUTO 09005KT 8SM -RA BKN046 OVC060 21/19 A3014 RMK T02100190 MADISHF
LAF,2021-10-07 00:30,KLAF 070030Z AUTO 08005KT 7SM -RA SCT043 BKN055 OVC110 21/19 A3014 RMK T02100190 MADISHF
LAF,2021-10-07 00:35,KLAF 070035Z AUTO 07007KT 6SM -RA BR SCT043 BKN055 OVC110 20/19 A3014 RMK T02000190 MADISHF
LAF,2021-10-07 00:40,KLAF 070040Z AUTO 07008KT 6SM -RA BR SCT043 SCT055 OVC110 20/19 A3014 RMK T02000190 MADISHF
LAF,2021-10-07 00:45,KLAF 070045Z AUTO 06008KT 6SM -RA BR FEW043 SCT060 BKN110 20/19 A3014 RMK P0000 T02000190 MADISHF
LAF,2021-10-07 00:50,KLAF 070050Z AUTO 07008KT 7SM -RA FEW043 FEW075 BKN110 20/19 A3014 RMK P0000 T02000190 MADISHF
LAF,2021-10-07 00:54,KLAF 070054Z AUTO 07008KT 8SM -RA FEW043 FEW075 BKN110 20/19 A3015 RMK AO2 RAE2358B23 SLP206 P0001 T02000194
LAF,2021-10-07 00:55,KLAF 070055Z AUTO 06008KT 8SM -RA FEW075 BKN110 20/19 A3014 RMK T02000190 MADISHF
LAF,2021-10-07 01:00,KLAF 070100Z AUTO 06008KT 8SM FEW079 OVC110 20/19 A3014 RMK T02000190 MADISHF
LAF,2021-10-07 01:05,KLAF 070105Z AUTO 06007KT 7SM FEW075 OVC110 20/19 A3014 RMK T02000190 MADISHF
LAF,2021-10-07 01:10,KLAF 070110Z AUTO 07007KT 6SM BR FEW079 OVC120 20/19 A3014 RMK T02000190 MADISHF
LAF,2021-10-07 01:15,KLAF 070115Z AUTO 07007KT 6SM BR FEW079 OVC110 20/19 A3014 RMK T02000190 MADISHF
LAF,2021-10-07 01:20,KLAF 070120Z AUTO 07007KT 6SM BR FEW079 OVC110 20/19 A3014 RMK T02000190 MADISHF
LAF,2021-10-07 01:25,KLAF 070125Z AUTO 07007KT 6SM BR OVC110 20/19 A3014 RMK T02000190 MADISHF
LAF,2021-10-07 01:30,KLAF 070130Z AUTO 07007KT 6SM BR FEW008 OVC110 20/19 A3013 RMK T02000190 MADISHF
