station_id,latitude,longitude,name,observation_time,temperature,temperature_high,temperature_low,humidity,solar_radiation,solar_radiation_high,rain,rain_inches_last_hour,wind_speed_mph,wind_direction_degrees,wind_gust_speed_mph,wind_gust_direction_degrees,pressure,soil_temp_1,soil_temp_2,soil_temp_3,soil_temp_4,soil_moist_1,soil_moist_2,soil_moist_3,soil_moist_4
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T16:45:00Z,,,,,,32767,0,0,0,,0,,29.535,,,,,,,,
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T17:00:00Z,47,49,45,74,367,408,6,8229,0,247.5,3,247.5,29.543,,,,,,,,
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T17:15:00Z,45,45,45,77,320,429,0,0,2,225,6,270,29.526,,,,,,,,
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T17:30:00Z,45,45,45,79,291,357,0,0,4,202.5,11,225,29.537,,,,,,,,
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T17:45:00Z,45,45,45,80,267,339,0,0,4,202.5,9,202.5,29.53,,,,,,,,
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T18:00:00Z,45,46,45,79,285,346,0,0,4,247.5,10,247.5,29.539,,,,,,,,
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T18:15:00Z,46,46,46,79,309,374,0,0,3,225,8,202.5,30.069,,,,,,,,
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T18:30:00Z,46,47,46,78,300,362,0,0,3,247.5,10,270,30.067,,,,,,,,
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T18:45:00Z,47,47,47,79,268,294,0,0,4,225,9,247.5,30.061,,,,,,,,
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T19:00:00Z,47,47,47,79,206,251,0,0,3,225,9,247.5,30.064,,,,,,,,
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T19:15:00Z,48,48,47,78,289,392,0,0,4,225,9,202.5,30.065,,,,,,,,
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T19:30:00Z,48,48,48,79,263,316,0,0,5,225,11,202.5,30.057,,,,,,,,
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T19:45:00Z,48,49,48,77,271,381,0,0,4,225,8,180,30.056,,,,,,,,
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T20:00:00Z,49,49,49,77,309,411,0,0,6,202.5,11,180,30.064,,,,,,,,
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T20:15:00Z,49,49,49,76,273,327,0,0,4,225,10,225,30.063,,,,,,,,
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T20:30:00Z,50,50,49,76,289,332,0,0,3,202.5,7,202.5,30.061,,,,,,,,
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T20:45:00Z,50,51,50,74,275,360,0,0,4,225,9,247.5,30.061,,,,,,,,
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T21:00:00Z,51,51,50,75,139,262,0,0,4,247.5,12,270,30.058,,,,,,,,
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T21:15:00Z,51,51,50,76,66,91,0,0,2,270,9,292.5,30.063,,,,,,,,
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T21:30:00Z,51,51,51,75,69,91,0,0,2,270,7,270,30.068,,,,,,,,
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T21:45:00Z,51,51,51,75,62,90,0,0,5,247.5,12,247.5,30.069,,,,,,,,
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T22:00:00Z,51,51,51,74,64,90,0,0,2,247.5,8,270,30.072,,,,,,,,
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T22:15:00Z,51,51,50,75,38,51,0,0,1,270,4,270,30.066,,,,,,,,
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T22:30:00Z,50,51,50,76,31,39,0,0,1,315,4,315,30.072,,,,,,,,
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T22:45:00Z,50,50,50,77,75,88,0,0,1,337.5,5,315,30.076,,,,,,,,
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T23:00:00Z,50,50,50,77,58,74,0,0,1,22.5,3,315,30.076,,,,,,,,
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T23:15:00Z,50,50,50,77,35,46,0,0,0,315,3,270,30.085,,,,,,,,
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T23:30:00Z,50,50,50,78,22,26,0,0,1,337.5,2,337.5,30.085,,,,,,,,
182,40.41309,-86.87257,WHIN081E-TIPP009 Columbian Park,2021-03-26T23:45:00Z,50,50,50,79,11,18,0,0,2,0,4,0,30.084,,,,,,,,
