"","iSIC02","iSIC02","iSIC02","iSIC02","iSIC02","iSIC02"
"","Avg","Avg","Avg","Avg","Avg","Avg"
"Date/Time","WindDir","WindSp","AirTemp","RH","BP","RainInten"
"m/d/y","Degree","mph","F","%","inHg","in/h"
10/07/2021 8:50:00 PM,18,0.3,68.00,60,29.3,0.00
10/07/2021 9:00:00 PM,129,3.6,71.70,69,29.3,0.00
10/07/2021 9:10:00 PM,149,1.2,73.70,65,29.3,0.00
10/07/2021 9:20:00 PM,116,5.6,73.90,64,29.3,0.00
10/07/2021 9:30:00 PM,92,3.9,73.70,62,29.3,0.00
10/07/2021 9:40:00 PM,132,2.7,73.50,62,29.3,0.00
10/07/2021 9:50:00 PM,82,0.9,73.40,63,29.3,0.00
10/07/2021 10:00:00 PM,127,1.7,73.50,62,29.3,0.00
10/07/2021 10:10:00 PM,183,0.6,73.50,62,29.3,0.00
10/07/2021 10:20:00 PM,108,1.9,73.50,63,29.3,0.00
10/07/2021 10:30:00 PM,207,1.2,73.40,63,29.3,0.00
10/07/2021 10:40:00 PM,122,3.6,73.40,64,29.3,0.00
10/07/2021 10:50:00 PM,134,3.0,72.60,65,29.3,0.00
10/07/2021 11:00:00 PM,108,1.2,72.30,66,29.3,0.00
10/07/2021 11:10:00 PM,285,0.4,71.90,67,29.3,0.00
10/07/2021 11:20:00 PM,176,0.9,71.40,68,29.3,0.00
10/07/2021 11:30:00 PM,105,1.0,71.00,69,29.3,0.00
10/07/2021 11:40:00 PM,125,2.4,70.80,70,29.3,0.00
10/07/2021 11:50:00 PM,98,2.2,70.50,71,29.3,0.00
10/08/2021 12:00:00 AM,141,2.1,70.30,72,29.3,0.00
10/08/2021 12:10:00 AM,189,1.6,69.80,73,29.3,0.00
10/08/2021 12:20:00 AM,105,1.5,69.40,74,29.3,0.00
10/08/2021 12:30:00 AM,196,1.5,69.00,75,29.3,0.00
10/08/2021 12:40:00 AM,209,1.4,68.70,76,29.3,0.00
10/08/2021 12:50:00 AM,337,0.8,68.70,76,29.3,0.00
10/08/2021 1:00:00 AM,73,0.7,68.70,75,29.3,0.00
10/08/2021 1:10:00 AM,106,0.6,68.50,76,29.3,0.00
10/08/2021 1:20:00 AM,205,1.5,68.50,76,29.3,0.00
10/08/2021 1:30:00 AM,155,2.1,68.30,78,29.3,0.00
10/08/2021 1:40:00 AM,221,2.4,68.00,79,29.3,0.00
10/08/2021 1:50:00 AM,116,1.7,67.80,80,29.3,0.00
10/08/2021 2:00:00 AM,128,2.4,67.40,81,29.3,0.00
10/08/2021 2:10:00 AM,125,1.4,67.40,82,29.3,0.00
10/08/2021 2:20:00 AM,103,4.3,67.20,82,29.3,0.00
10/08/2021 2:30:00 AM,42,1.3,67.10,82,29.3,0.00
10/08/2021 2:40:00 AM,70,2.1,66.90,83,29.3,0.00
10/08/2021 2:50:00 AM,146,1.7,66.70,83,29.3,0.00
10/08/2021 3:00:00 AM,170,0.8,66.30,84,29.3,0.00
10/08/2021 3:10:00 AM,139,1.3,66.30,84,29.3,0.00
10/08/2021 3:20:00 AM,225,0.7,66.20,84,29.3,0.00
10/08/2021 3:30:00 AM,111,1.0,66.20,84,29.3,0.00
10/08/2021 3:40:00 AM,194,1.3,66.20,84,29.3,0.00
10/08/2021 3:50:00 AM,205,1.3,66.20,84,29.3,0.00
10/08/2021 4:00:00 AM,171,0.9,66.00,84,29.3,0.00
10/08/2021 4:10:00 AM,270,0.8,66.00,84,29.3,0.00
10/08/2021 4:20:00 AM,232,1.1,65.80,85,29.3,0.00
10/08/2021 4:30:00 AM,235,0.9,65.80,85,29.3,0.00
10/08/2021 4:40:00 AM,147,1.2,65.80,84,29.3,0.00
10/08/2021 4:50:00 AM,182,0.3,66.00,83,29.3,0.00
