Time (automatic),Temperature (deg C),Thermometer number,Observer's initials,QC flag (0 = good; 1 = suspect),QC initials
8/25/2021 10:03:34,26.0,6,CB,0,ML
8/25/2021 10:04:56,25.9,1,BM,0,ML
8/25/2021 10:04:29,25.5,9,BA,0,ML
8/25/2021 10:04:21,25.5,5,DH,0,AL
8/25/2021 10:03:30,23.0,10,TP,1,ML
8/25/2021 10:03:42,27.0,7,JC,0,ML
8/25/2021 10:04:54,27.0,6,RS,0,ML
8/25/2021 10:04:03,25.9,1,,0,AL
8/25/2021 10:04:55,26.8,5,KE,0,ML
8/25/2021 10:03:04,26.0,5,LT,0,AL
8/25/2021 10:06:08,29.0,7,CC,1,VK
8/25/2021 10:05:20,24.5,10,CN,0,ML
8/25/2021 10:03:34,24.5,5,DG,0,ML
8/25/2021 10:04:52,29.5,7,DC,1,ML
8/25/2021 10:04:19,23.9,4,FV,1,VK
8/25/2021 10:03:14,26.8,3,NL,0,VK
8/25/2021 10:03:09,24.0,9,SB,1,VK
8/25/2021 10:03:36,25.0,5,SB,0,VK
8/25/2021 10:04:13,29.5,8,NL,1,ML
8/25/2021 10:04:20,25.8,9,LT,0,AL
8/25/2021 10:05:06,25.7,4,AS,0,AL
8/25/2021 10:04:37,28.0,3,DG,0,VK
8/25/2021 10:05:26,29.5,5,BM,1,VK
8/25/2021 10:06:06,25.5,9,RS,0,VK
8/25/2021 10:05:06,27.2,2,,0,VK
8/25/2021 10:05:54,27.1,4,CB,0,VK
8/25/2021 10:06:27,26.8,3,FV,0,VK
8/25/2021 10:05:21,29.0,7,CJ,1,VK
8/25/2021 10:05:14,27.5,3,TP,0,VK
8/25/2021 10:06:31,26.5,4,,0,VK
8/25/2021 10:05:42,27.5,3,,0,VK
8/25/2021 10:05:29,25.1,1,KE,0,VK
8/25/2021 10:06:12,28.5,5,BA,1,VK
8/25/2021 10:06:15,26.0,2,LT,0,AL
8/25/2021 10:06:02,25.0,10,BM,0,AL
8/25/2021 10:05:58,26.0,9,KE,0,AL
8/25/2021 10:07:11,26.0,9,JC,0,AL
8/25/2021 10:06:53,25.9,1,RS,0,AL
8/25/2021 10:06:20,28.0,5,CJ,0,
8/25/2021 10:06:25,26.0,9,CN,0,
8/25/2021 10:06:57,26.0,6,DH,0,
8/25/2021 10:06:31,25.8,6,BA,0,
8/25/2021 10:06:47,27.0,7,BM,0,
8/25/2021 10:06:44,29.0,5,CC,1,
8/25/2021 10:07:10,26.5,10,CJ,0,
8/25/2021 10:06:50,26.9,3,AS,0,
8/25/2021 10:06:49,25.5,10,DC,0,
8/25/2021 10:07:08,29.5,8,DG,1,
