"id"	"date_published"	"region"	"quality"	"views"	"likes"	"shares"	"tags"	"recommendations"	"report"	"duration"	"day_views"	"night_views"	"size"
"8r6fg2155388w8"	"12/17/2020"	"Eastern Asia"	"720p"	349032	2532	1067	42	1494	"N"	7490	209844	139188	3995
"1k8av5859690k8"	"8/19/2020"	"Western Europe"	"1080p"	345581	2024	1167	9	1847	"N"	2897	249946	95635	2420
"1w3nm3739606x2"	"3/31/2020"	"Eastern Asia"	"360p"	268382	1061	531	32	1256	"N"	94	125700	142682	21
"8o4bd4047654z3"	"12/20/2020"	"Middle East"	"1080p"	442771	2403	1272	15	1766	"N"	1122	292774	149997	942
"2q0jz5472650x3"	"5/25/2020"	"Middle East"	"1080p"	321067	2653	1268	169	1782	"N"	388	204796	116271	324
"7p2lf1321702d0"	"10/5/2020"	"Western Europe"	"1080p"	337125	2666	1408	44	1613	"N"	329	182741	154384	259
"6i8xe4669595x4"	"12/3/2020"	"Central Europe"	"720p"	358801	2387	1190	51	1421	"N"	1716	216782	142019	921
"4d3pt2501721s2"	"7/1/2020"	"Eastern Asia"	"720p"	311671	2379	1378	9	1609	"N"	2971	128926	182745	1580
"0l1fn0009185o0"	"6/13/2020"	"Western Europe"	"720p"	356149	2076	1327	15	1732	"N"	600	205930	150219	315
"9y8lv3699732z8"	"12/22/2020"	"North America"	"1080p"	204609	2157	1320	30	1753	"N"	1238	126702	77907	1029
"5f9fd8407661i7"	"7/9/2020"	"South Asia"	"1080p"	291715	2716	1229	19	2090	"N"	1826	179378	112337	1536
"5s0fb5427372n7"	"12/15/2020"	"North America"	"720p"	401308	754	508	23	1433	"Y"	958	235037	166271	503
"8e3ht9325269y1"	"1/3/2020"	"North America"	"480p"	325129	1557	759	13	1294	"N"	845	201999	123130	213
"8l5dn4565529o3"	"3/29/2020"	"Eastern Europe"	"720p"	313567	2412	1183	11	1778	"N"	708	193355	120212	401
"0k3hu9038340k3"	"3/2/2020"	"South Africa"	"1080p"	372882	2655	1143	14	1658	"N"	569	237083	135799	475
"2u3ll3172396w3"	"12/19/2020"	"Eastern Europe"	"1080p"	335850	2349	1320	22	1809	"N"	139	181519	154331	126
"0a5hp3301859t3"	"1/19/2020"	"Western Europe"	"720p"	322601	2450	1042	10	1273	"N"	569	201844	120757	303
"4a3uq6437851o7"	"1/20/2020"	"North America"	"1080p"	302154	2648	1080	9	1988	"N"	1064	183697	118457	869
"1i5ar1205154r0"	"1/8/2020"	"South America"	"1080p"	277509	2762	1245	8	1861	"N"	851	189828	87681	706
"8x9jd5919587c1"	"8/16/2020"	"North America"	"720p"	353667	1995	1121	162	1693	"N"	985	228716	124951	523
"2p1bn7449542p7"	"1/20/2020"	"Eastern Europe"	"1080p"	360490	2443	1262	53	2041	"N"	1887	243394	117096	1560
"9r0sq6399748r5"	"6/10/2020"	"Eastern Asia"	"720p"	294477	1076	421	114	1434	"Y"	630	213458	81019	339
"1z6ks8332760b9"	"5/10/2020"	"Middle East"	"1080p"	343108	682	470	18	1794	"Y"	434	233499	109609	382
"1a4sl5147152g1"	"12/14/2020"	"Western Europe"	"1080p"	308774	1214	431	151	1950	"Y"	1835	180495	128279	1547
"7j1lp3099001f8"	"9/21/2020"	"Eastern Asia"	"480p"	318175	1327	800	90	1466	"N"	1896	174168	144007	475
"3u3en1181729k8"	"2/10/2020"	"North America"	"1080p"	256556	2212	1099	32	1678	"N"	1916	161242	95314	1589
"2o9nb8589341k6"	"11/12/2020"	"North America"	"1080p"	375056	2958	1041	10	1800	"N"	2027	236468	138588	1685
"6z7kj5706502g8"	"10/26/2020"	"Middle East"	"1080p"	268193	2708	1461	9	1635	"N"	696	226611	41582	587
"3j1jz5601522v3"	"2/14/2020"	"Eastern Asia"	"1080p"	338862	2496	1149	54	1544	"N"	2713	175852	163010	2254
"4b4dw0638013e5"	"10/23/2020"	"Eastern Asia"	"480p"	338547	1461	709	19	1262	"N"	289	237634	100913	67
"4r7pb3305929t6"	"12/17/2020"	"South Africa"	"1080p"	264164	2575	1228	16	1636	"N"	588	138633	125531	469
"9i4bx3313627k7"	"2/27/2020"	"North America"	"240p"	394114	1146	541	72	910	"Y"	96	231458	162656	19
"3u9dd9371246q4"	"2/19/2020"	"Central Europe"	"1080p"	284275	2464	1344	17	1753	"N"	1249	162750	121525	1029
"1x8ht6529602t9"	"4/8/2020"	"Middle East"	"720p"	357026	2415	1356	24	1620	"N"	1183	240881	116145	613
"7p4za3646035r7"	"9/28/2020"	"North America"	"480p"	363972	1457	858	149	1241	"N"	1895	235648	128324	493
"0g3xd4949438e0"	"5/4/2020"	"South America"	"1080p"	239006	2004	1335	12	1827	"N"	628	156716	82290	518
"0g8ty9519919p9"	"3/17/2020"	"North America"	"1080p"	314989	2243	1265	19	1658	"N"	9041	200409	114580	7545
"9k6sw8547646j2"	"12/15/2020"	"North America"	"1080p"	391761	2769	1086	13	1884	"N"	386	248889	142872	309
"0o4ar3425774g4"	"1/19/2020"	"Eastern Asia"	"1080p"	394076	2275	1094	50	1804	"N"	277	233227	160849	219
"0g8yo0064479o9"	"1/10/2020"	"North America"	"1080p"	282048	1022	539	4	1916	"Y"	564	183511	98537	468
"2y6fx3232805b3"	"6/16/2020"	"South Europe"	"720p"	286186	2358	1118	3	1378	"N"	1673	182610	103576	887
"5w2js4822992k8"	"6/15/2020"	"North America"	"1080p"	353409	2224	1285	22	1930	"N"	646	210185	143224	551
"2c7wh6297165k1"	"3/6/2020"	"South Africa"	"360p"	313859	1136	623	16	1175	"N"	1546	188152	125707	194
"5c3ab1254458m0"	"3/10/2020"	"Eastern Asia"	"720p"	287515	2108	1125	10	1558	"N"	621	196866	90649	334
"5m7hd9588428t1"	"6/5/2020"	"Eastern Asia"	"1080p"	356578	1907	1199	12	1841	"N"	677	228960	127618	576
"5l8oc5188928g5"	"11/27/2020"	"South Asia"	"1080p"	322077	2595	1113	2	1799	"N"	88	203713	118364	59
"6k3rw4274529i2"	"11/22/2020"	"North America"	"720p"	278771	2456	1130	127	1604	"N"	407	155908	122863	209
"0q1zr4306253h5"	"3/31/2020"	"Eastern Asia"	"1080p"	275066	2384	957	111	2271	"N"	647	153343	121723	534
"9g4pj6506580f5"	"7/29/2020"	"South America"	"1080p"	278051	2558	1262	85	1850	"N"	430	187442	90609	356
"4f5cv6940519j9"	"3/17/2020"	"North America"	"1080p"	263298	2298	1034	22	1582	"N"	1158	134761	128537	952
"5s6au4440646r7"	"9/25/2020"	"Eastern Asia"	"144p"	334556	958	490	51	861	"N"	227	231298	103258	19
"1s6eu3094723t9"	"3/29/2020"	"South America"	"1080p"	359803	2177	1167	12	1651	"N"	4033	237068	122735	3367
"6p3fg8427492w9"	"3/11/2020"	"North America"	"1080p"	316962	785	514	17	1727	"Y"	376	178685	138277	323
"8r8fa8661096r6"	"9/22/2020"	"Eastern Asia"	"720p"	306441	2811	1220	18	1770	"N"	1043	173365	133076	564
"7t6uk8446480v3"	"7/22/2020"	"Western Europe"	"1080p"	310594	2712	1430	84	2199	"N"	1640	244769	65825	1370
"0f0zt1733282v6"	"2/18/2020"	"North America"	"1080p"	190050	2474	1211	91	2007	"N"	287	108336	81714	237
"3g2rp9762614j8"	"9/17/2020"	"North America"	"1080p"	347298	2777	1363	8	1838	"N"	1955	220574	126724	1621
"6c5oa9432466j8"	"2/8/2020"	"Caribbean"	"1080p"	279361	2879	1162	10	1907	"N"	517	156855	122506	437
"0k9pr8116011d6"	"11/9/2020"	"Caribbean"	"1080p"	230579	2190	1203	213	1702	"N"	472	155728	74851	408
"5l3qh7026548k5"	"2/8/2020"	"Western Europe"	"360p"	373162	1147	568	15	1329	"N"	3429	175799	197363	444
"6r7ep5298307x1"	"11/4/2020"	"Eastern Asia"	"720p"	282747	2642	1085	21	1396	"N"	477	189799	92948	259
"8d3zi8006386o5"	"11/27/2020"	"Western Europe"	"1080p"	413037	2004	1274	39	1644	"N"	1461	230997	182040	1214
"4p9ue6896188u1"	"1/24/2020"	"North Africa"	"1080p"	240809	2617	1236	25	1943	"N"	628	168992	71817	512
"6r6wr6465207t7"	"1/15/2020"	"North America"	"240p"	235894	1259	575	8	914	"N"	648	208684	27210	63
"8e2hg5638473i3"	"7/27/2020"	"Eastern Asia"	"1080p"	369284	2444	1056	40	1651	"N"	584	245398	123886	491
"6s5zp9622690w6"	"6/12/2020"	"Eastern Asia"	"720p"	333168	2551	1246	24	1628	"N"	227	197743	135425	117
"5k8nf4750080f0"	"4/17/2020"	"North America"	"1080p"	291675	700	512	22	1547	"Y"	721	207057	84618	600
"7n1oh0462873x0"	"6/12/2020"	"North America"	"240p"	332151	1269	495	161	963	"N"	476	237899	94252	34
"9k0em0806080f9"	"12/6/2020"	"North America"	"1080p"	324134	1076	500	47	2042	"Y"	1830	237969	86165	1544
"1x7tn0724132i3"	"7/24/2020"	"Western Europe"	"720p"	350164	2393	1174	7	1593	"N"	1961	221481	128683	1035
"7h2qn1075523t0"	"12/31/2020"	"Caribbean"	"720p"	387414	2030	1132	53	1666	"N"	871	194412	193002	459
"6g7ei7566775i3"	"4/25/2020"	"Southeast Asia"	"240p"	370373	766	476	20	826	"Y"	934	211247	159126	84
"9s8ge1642854e1"	"3/5/2020"	"South America"	"1080p"	297184	1012	648	12	2096	"Y"	5639	189406	107778	4700
"6o4zc8611349y9"	"12/27/2020"	"Central Europe"	"240p"	333847	1309	547	37	1024	"N"	3522	222636	111211	298
"0y9tn1770711x0"	"5/13/2020"	"Eastern Asia"	"1080p"	325110	2776	1134	30	1846	"N"	152	181578	143532	142
"5x1vp4243815y8"	"9/16/2020"	"Eastern Asia"	"1080p"	280041	2389	1069	8	1665	"N"	202	143802	136239	154
"4j4ay6312254p6"	"10/11/2020"	"North Africa"	"720p"	353297	2436	1184	156	1309	"N"	607	278073	75224	330
"3m5ec0797690a7"	"2/15/2020"	"Caribbean"	"1080p"	415925	1036	536	53	1752	"Y"	2022	260245	155680	1684
"5q9ek9041293h6"	"4/15/2020"	"North America"	"720p"	279082	2398	1328	26	1701	"N"	939	171408	107674	499
"8g6un5706558p9"	"8/3/2020"	"Eastern Asia"	"720p"	338976	2498	1231	33	1740	"N"	2416	222490	116486	1286
"5i0zf4522467p1"	"2/27/2020"	"North America"	"1080p"	360701	2607	1366	2	1749	"N"	2901	198968	161733	2410
"6m7tt7116962p6"	"4/28/2020"	"Central Europe"	"1080p"	274469	2337	1168	74	1845	"N"	293	180129	94340	259
"4d7id1054538m1"	"2/1/2020"	"Central Europe"	"1080p"	358219	2281	1136	14	1937	"N"	537	221473	136746	445
"9y9jb6387949u0"	"10/16/2020"	"Oceania"	"720p"	360569	2440	1287	20	1388	"N"	2187	210527	150042	1162
"7n7os8063026y0"	"4/30/2020"	"Western Europe"	"1080p"	330320	2771	1131	8	1743	"N"	855	154289	176031	711
"4i7jm9350523u7"	"4/23/2020"	"North America"	"720p"	277753	2877	1077	95	1411	"N"	1580	163614	114139	853
"2d6bc9599025r6"	"3/20/2020"	"Eastern Europe"	"1080p"	283085	1995	1152	12	1616	"N"	991	178416	104669	822
"7c2dw6982977a5"	"12/11/2020"	"Eastern Asia"	"1080p"	371406	2652	1229	7	1995	"N"	2347	208468	162938	1959
"5l2cq5701470t7"	"11/23/2020"	"Eastern Asia"	"720p"	348144	2725	1201	40	1449	"N"	799	193586	154558	413
"7a4fy7415424b2"	"1/29/2020"	"Caribbean"	"1080p"	324912	2182	1120	45	1846	"N"	470	158698	166214	382
"2d1iz7677618f4"	"11/14/2020"	"Middle East"	"720p"	300872	2793	1072	63	1547	"N"	328	186044	114828	187
"6y5iv4533579d5"	"8/7/2020"	"South America"	"1080p"	296393	2550	1088	14	1954	"N"	2333	217613	78780	1941
"9i0cz2369641w7"	"8/23/2020"	"North America"	"480p"	271359	1503	824	19	1434	"N"	317	157489	113870	78
"6x8xk9177867u3"	"4/15/2020"	"Scandinavia"	"1080p"	286643	2202	1272	26	1662	"N"	1519	177048	109595	1268
"1i6bs3204120q3"	"11/19/2020"	"North America"	"1080p"	366224	3090	1246	12	1917	"N"	4729	193810	172414	3947
"0u5ax8321665c8"	"9/7/2020"	"Middle East"	"1080p"	338486	1827	1229	18	1963	"N"	1011	203232	135254	852
"6q5hc4416239p7"	"7/30/2020"	"Scandinavia"	"240p"	319552	1280	685	25	1095	"N"	535	160870	158682	49
"9v5uz8561799k1"	"9/27/2020"	"Western Europe"	"480p"	250143	1467	797	27	1371	"N"	3267	137754	112389	815
"2u5vx8581663l6"	"11/18/2020"	"Eastern Asia"	"720p"	227304	2445	1204	72	1446	"N"	335	169451	57853	175
"3o9gu3475290u4"	"4/3/2020"	"Eastern Asia"	"240p"	364564	1210	525	218	1027	"N"	411	261866	102698	50
"6s1sv5894191z4"	"3/21/2020"	"Eastern Asia"	"720p"	323226	3295	1140	64	1466	"N"	250	217546	105680	139
"1p1mu1542502d2"	"2/13/2020"	"North America"	"720p"	283657	2193	1113	16	1538	"N"	425	183345	100312	219
"7z7uk7274779f1"	"1/20/2020"	"Western Europe"	"480p"	396547	1564	867	39	1647	"N"	599	281929	114618	130
"2d1ut7785547s4"	"1/24/2020"	"Western Europe"	"1080p"	282036	2768	1144	145	1953	"N"	5342	185978	96058	4449
"4y1ty2215505x9"	"1/2/2020"	"Eastern Europe"	"1080p"	230393	2988	1229	63	1582	"N"	3844	146406	83987	3216
