"id"	"date_published"	"region"	"quality"	"views"	"likes"	"shares"	"tags"	"recommendations"	"report"	"duration"	"day_views"	"night_views"	"size"
"8r6fg2155388w8"	"12/17/2020"	"Eastern Asia"	"720p"	349032	2532	1067	42	1494	"N"	NA	209844	139188	3995
"1k8av5859690k8"	"8/19/2020"	"Western Europe"	"1080p"	345581	2024	1167	9	1847	"N"	NA	249946	95635	2420
"1w3nm3739606x2"	"3/31/2020"	"Eastern Asia"	"360p"	268382	1061	531	32	1256	"N"	NA	125700	142682	21
"8o4bd4047654z3"	"12/20/2020"	"Middle East"	"1080p"	442771	2403	1272	15	1766	"N"	NA	292774	149997	942
"2q0jz5472650x3"	"5/25/2020"	"Middle East"	"1080p"	321067	2653	1268	169	1782	"N"	NA	204796	116271	324
"7p2lf1321702d0"	"10/5/2020"	"Western Europe"	"1080p"	337125	2666	1408	44	1613	"N"	NA	182741	154384	259
"6i8xe4669595x4"	"12/3/2020"	"Central Europe"	"720p"	358801	2387	1190	51	1421	"N"	NA	216782	142019	921
"4d3pt2501721s2"	"7/1/2020"	"Eastern Asia"	"720p"	311671	2379	1378	9	1609	"N"	NA	128926	182745	1580
"0l1fn0009185o0"	"6/13/2020"	"Western Europe"	"720p"	356149	2076	1327	15	1732	"N"	NA	205930	150219	315
"9y8lv3699732z8"	"12/22/2020"	"North America"	"1080p"	204609	2157	1320	30	1753	"N"	NA	126702	77907	1029
"5f9fd8407661i7"	"7/9/2020"	"South Asia"	"1080p"	291715	2716	1229	19	2090	"N"	NA	179378	112337	1536
"5s0fb5427372n7"	"12/15/2020"	"North America"	"720p"	401308	754	508	23	1433	"Y"	NA	235037	166271	503
"8e3ht9325269y1"	"1/3/2020"	"North America"	"480p"	325129	1557	759	13	1294	"N"	NA	201999	123130	213
"8l5dn4565529o3"	"3/29/2020"	"Eastern Europe"	"720p"	313567	2412	1183	11	1778	"N"	NA	193355	120212	401
"0k3hu9038340k3"	"3/2/2020"	"South Africa"	"1080p"	372882	2655	1143	14	1658	"N"	NA	237083	135799	475
"2u3ll3172396w3"	"12/19/2020"	"Eastern Europe"	"1080p"	335850	2349	1320	22	1809	"N"	NA	181519	154331	126
