"id"	"host_id"	"host_name"	"borough"	"number_reviews"	"review_scores"	"scaled_scores"	"losing_scores"	"price"	"room_type"	"minimum_nights"	"area"	"rental_price"	"availability_2017"	"availability_2018"	"availability_total"
1843955	9634183	"Sera"	"Manhattan"	95	9.44	94.44	5.56	234	"Private room"	3	1733.5	3444.9	172	167	339
16884027	78930817	"Santi"	"Manhattan"	75	9.06	90.64	9.36	254	"Entire home/apt"	1	2113.7	4300.3	0	29	29
17386970	117533073	"Nes"	"Queens"	48	9.77	97.74	2.26	186	"Entire home/apt"	7	2830.3	3444.4	0	25	25
12941500	39943298	"Frank"	"Manhattan"	76	9.36	93.56	6.44	242	"Private room"	4	1783.7	3642	0	20	20
4660939	24117644	"Joshua"	"Queens"	56	8.95	89.52	10.48	253	"Entire home/apt"	3	2173.3	3907.9	0	23	23
15985766	13106667	"Bora"	"Brooklyn"	68	9.69	96.92	3.08	208	"Private room"	5	1759.4	3229.3	60	62	122
13355711	39644709	"Adriana"	"Manhattan"	62	7.56	75.62	24.38	129	"Private room"	3	1156.9	2352	0	16	16
499092	906067	"Shan"	"Manhattan"	62	9.26	92.58	7.42	228	"Private room"	3	1694.6	3813.1	282	271	553
17456932	5635997	"Eldad"	"Manhattan"	64	9	90	10	303	"Entire home/apt"	5	2848.7	3539.9	8	15	23
18146377	13974537	"Ahmed"	"Brooklyn"	88	8.92	89.21	10.79	158	"Private room"	1	1505.5	2259.5	158	154	312
14025315	45281346	"Mathilde"	"Manhattan"	79	9.32	93.17	6.83	226	"Private room"	2	1630.4	4015.3	8	15	23
12969014	9991075	"Erika"	"Manhattan"	53	9.31	93.09	6.91	289	"Entire home/apt"	2	2485.2	5084.8	50	52	102
7047329	36956206	"Taylor"	"Brooklyn"	106	9.53	95.33	4.67	269	"Entire home/apt"	1	3490.5	3448.7	3	11	14
8468180	44593642	"Charlie"	"Manhattan"	61	9.21	92.1	7.9	333	"Entire home/apt"	2	2902.9	4327.2	0	19	19
2518907	10264377	"Anthony"	"Manhattan"	67	7	69.97	30.03	318	"Entire home/apt"	2	2701.7	5004.4	0	18	18
9575226	47739675	"David"	"Brooklyn"	48	9.52	95.18	4.82	191	"Private room"	10	1719.4	3442.8	0	41	41
4642539	5025692	"Annika & Nacho"	"Manhattan"	86	9.01	90.07	9.93	314	"Entire home/apt"	3	2488.4	5026.5	0	32	32
14015822	82805482	"Julia"	"Brooklyn"	73	7.89	78.94	21.06	166	"Private room"	3	1504.8	2152	258	249	507
9609762	9144442	"Samantha"	"Manhattan"	88	9.4	94	6	198	"Private room"	3	1530.2	3110.5	0	18	18
829215	1544412	"Carlota"	"Brooklyn"	95	9.77	97.71	2.29	244	"Private room"	4	1985.5	3476.2	267	257	524
6346496	14087588	"Drew"	"Manhattan"	62	9.43	94.27	5.73	362	"Entire home/apt"	1	4511.1	5666.6	0	12	12
13479706	24088856	"Olivia  &  Jonathan"	"Manhattan"	104	8.79	87.93	12.07	179	"Private room"	1	1365.7	1969.6	273	263	536
12902256	37782666	"Kevin"	"Manhattan"	98	9.41	94.08	5.92	228	"Private room"	1	1701.9	3219.1	356	336	692
15123354	26215133	"Tommy"	"Queens"	16	9.65	96.52	3.48	86	"Shared room"	1	940.8	1055.6	362	338	700
2876055	5317082	"Kells"	"Brooklyn"	108	9.74	97.43	2.57	223	"Private room"	5	1889.3	2447.1	162	158	320
7734995	3344231	"Cesar"	"Manhattan"	96	9.41	94.12	5.88	267	"Entire home/apt"	3	2323	3298.7	0	12	12
5396863	786850	"Alejandra"	"Brooklyn"	52	7.92	79.2	20.8	275	"Private room"	2	2311.2	4584.3	365	335	700
16578092	46660053	"Ploymanee"	"Brooklyn"	88	9.63	96.32	3.68	208	"Private room"	2	1749	3180	92	91	183
18058836	43359521	"John"	"Brooklyn"	75	9.73	97.33	2.67	184	"Private room"	1	1661.4	2553.6	44	47	91
17559561	20187705	"Rosalba"	"Queens"	47	9.72	97.17	2.83	132	"Shared room"	2	1112.3	2384.1	257	248	505
11866163	56138849	"Sian-Pierre"	"Manhattan"	64	9.11	91.05	8.95	244	"Shared room"	1	1496.7	4586.9	0	32	32
12911110	5317451	"Kelly"	"Manhattan"	54	9.25	92.55	7.45	233	"Entire home/apt"	8	2552	4805.7	0	16	16
13387713	73398736	"Elizabeth"	"Manhattan"	71	9.49	94.93	5.07	321	"Private room"	5	2468.5	4270.9	0	10	10
